date,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2023-01-19,62857,24246,65122,22745,90440,33540,5110,78018,71497,53655,1463,1863,4482,5932,2342,9101,9125,9116,9435,9550,915,320,74,26,23,57,96
2023-01-20,91869,62613,89561,17438,79710,68693,48902,8300,92038,67549,2455,1085,3800,5406,1138,8058,3367,2046,1602,67,216,832,186,18,36,82,59
2023-01-25,52371,45082,87473,55003,44656,18647,37207,71263,51955,58209,7943,2928,1910,4411,4148,340,5084,5712,7654,1849,83,687,637,7,18,29,55
2023-01-26,34164,21642,85331,53702,36678,49662,96488,70757,21183,72285,2204,4344,9025,9940,3753,4608,9088,7731,5934,6916,100,874,364,32,60,46,20
2023-01-27,72859,84970,22948,27905,68839,72151,45870,16675,45622,30683,5687,8094,1582,5288,9289,6626,4652,3120,7508,5479,166,101,463,93,42,35,69
2023-01-28,87219,88795,61887,71870,36399,99176,44895,48144,89665,83781,1226,3681,3051,3591,1368,8512,613,9140,8974,7483,313,104,436,30,87,80,75
2023-01-29,76479,25766,72194,11034,40098,29006,40715,61584,39911,24856,3454,3693,5723,7638,5842,789,9534,388,1327,2320,134,548,571,35,26,48,3
2023-01-30,16179,12198,66824,97525,76829,1458,678,4710,93846,11457,3440,5637,9612,9495,2099,6964,572,7189,8620,3391,901,919,624,96,65,3,70
2023-01-31,30061,21284,95201,18959,39371,85823,24941,22036,22477,18709,1081,8622,3216,868,8908,5675,3757,290,6421,3461,940,315,55,7,15,20,49
2023-02-01,34838,29989,64285,65938,54835,94648,82384,40292,70918,1062,8441,1468,916,5129,6463,5037,7184,2312,3165,6247,42,76,709,74,54,61,6
2023-02-02,60755,35682,29934,63527,36869,93254,18961,79187,66574,51138,9942,3708,879,3794,1300,9770,4034,6902,1730,9819,104,606,619,51,19,90,89
2023-02-03,52766,79512,12874,591,19739,53846,86931,48174,75976,36988,9591,7194,9590,7739,9894,3969,3811,5153,3349,3722,561,446,237,29,67,28,25
2023-02-04,64948,4674,16883,77334,12795,68347,65312,9038,86560,22314,2746,8474,2057,3300,5264,2363,1877,33,2488,9198,104,622,10,77,6,18,96
2023-02-05,6194,41299,35133,39473,40420,29343,31064,66278,59129,16617,7037,9260,2809,5294,7690,7727,6959,95,1920,7180,78,772,457,85,74,31,79
2023-02-06,35492,27386,77331,13534,61892,81361,57325,19943,52187,55210,2014,6409,3258,8688,9374,4850,8320,7814,8710,717,794,635,599,95,56,66,19
2023-02-07,18198,71786,90306,5645,57283,23864,72211,62199,57365,40880,4417,4196,3901,5992,4003,5186,5049,2861,1761,7271,484,465,916,44,4,62,23
2023-02-08,88864,58679,99604,51365,11054,21296,73693,94535,33878,20697,9292,342,933,1244,9592,5309,4376,1230,3835,6215,855,584,139,30,21,29,83
